DIRECCIÓN;ESQUINA;COLONIA;ALCALDIA;BOTON;ALTAVOZ;LONGITUD;LATITUD;geopoint;TIPO DE POSTE;ESTATUS CONECTIVIDAD
AV. INDEPENDENCIA;C. JOSE AZUETA;CENTRO;CUAUHTEMOC;CON BOTON;CON ALTAVOZ;-99.146751;19.433729;19.433729,-99.146751;9m;SIN WIFI
C. INDEPENDENCIA;C. DOLORES;CENTRO;CUAUHTEMOC;CON BOTON;CON ALTAVOZ;-99.142696;19.433091;19.433091,-99.142696;9m;WIFI GRATUITO_ACTIVO
C. SOLEDAD;ESQ.  C. SANTISIMA;CENTRO;CUAUHTEMOC;CON BOTON;CON ALTAVOZ;-99.12703;19.432311;19.432311,-99.12703;9m;WIFI GRATUITO_ACTIVO
AVENIDA AHUEHUETES;C. AHUEHUETES;TLAPEXCO;GUSTAVO A. MADERO;CON BOTON;CON ALTAVOZ;-99.131155;19.544997;19.544997,-99.131155;9m;WIFI GRATUITO_ACTIVO
C. ABASOLO;C. LONDRES;DEL CARMEN;COYOACAN;CON BOTON;CON ALTAVOZ;-99.161153;19.355257;19.355257,-99.161153;9m;WIFI GRATUITO_ACTIVO
C. RIO NILO;ENTRE CDA. RIO NILO Y AV. DE LAS TORRES;LOMAS DE SAN LORENZO;IZTAPALAPA;CON BOTON;SIN ALTAVOZ;-99.065136;19.325193;19.325193,-99.065136;9m;SIN WIFI
C. NORTE 1B;AV. PONIENTE 112;MAXIMINO ÁVILA CAMACHO;GUSTAVO A. MADERO;CON BOTON;CON ALTAVOZ;-99.137636;19.476176;19.476176,-99.137636;9m;WIFI GRATUITO_ACTIVO
AV. ESTADO DE MEXICO;AV. LIC. ADOLFO LOPEZ MATEOS;LOMAS DE LAS PALMAS;GUSTAVO A. MADERO;CON BOTON;CON ALTAVOZ;-99.14539;19.549077;19.549077,-99.14539;9m;WIFI GRATUITO_ACTIVO
C. CANTON;C. PERSIA;ROMERO RUBIO;VENUSTIANO CARRANZA;CON BOTON;CON ALTAVOZ;-99.098437;19.444163;19.444163,-99.098437;9m;SIN WIFI
C. ARTICULO 123;ENTRE AV. BALDERAS Y 2DA. CALLE DE REVILLAGIGEDO;CENTRO;CUAUHTEMOC;CON BOTON;CON ALTAVOZ;-99.14669;19.432782;19.432782,-99.14669;9m;WIFI GRATUITO_ACTIVO
C. PESTALOZZI;C. PILARES;DEL VALLE SUR;BENITO JUAREZ;SIN BOTON;CON ALTAVOZ;-99.161928;19.376841;19.376841,-99.161928;9m;WIFI GRATUITO_ACTIVO
C. CUMBRES DE MALTRATA;PRIV. LAGO;AMERICAS UNIDAS;BENITO JUAREZ;CON BOTON;SIN ALTAVOZ;-99.143585;19.381531;19.381531,-99.143585;9m;WIFI GRATUITO_ACTIVO
C. DARWIN;C. SHAKESPEARE;ANZURES;MIGUEL HIDALGO;SIN BOTON;CON ALTAVOZ;-99.177553;19.429582;19.429582,-99.177553;9m;WIFI GRATUITO_ACTIVO
CALZ. DE GUADALUPE;AV. HENRY FORD;GUADALUPE TEPEYAC;GUSTAVO A. MADERO;CON BOTON;CON ALTAVOZ;-99.122196;19.471477;19.471477,-99.122196;9m;WIFI GRATUITO_ACTIVO
MOCTEZUMA;EJE 1 ORIENTE F. C HIDALGO;ARAGÓN LA VILLA;GUSTAVO A. MADERO;CON BOTON;CON ALTAVOZ;-99.109968;19.477943;19.477943,-99.109968;9m;WIFI GRATUITO_ACTIVO
C. ORIENTE 157;C. NORTE 72;SALVADOR DIAZ MIRON;GUSTAVO A. MADERO;CON BOTON;CON ALTAVOZ;-99.097606;19.488322;19.488322,-99.097606;9m;WIFI GRATUITO_ACTIVO
EJE 10 SUR AV. SAN JERONIMO;BLVRD. ADOLFO LOPEZ MATEOS;JARDINES DEL PEDREGAL;ALVARO OBREGON;SIN BOTON;CON ALTAVOZ;-99.210246;19.331069;19.331069,-99.210246;9m;WIFI GRATUITO_ACTIVO
C. PASEO DEL PEDREGAL;C. CASCADA;JARDINES DEL PEDREGAL;ALVARO OBREGON;CON BOTON;CON ALTAVOZ;-99.198678;19.326251;19.326251,-99.198678;9m;WIFI GRATUITO_ACTIVO
C. REVILLAGIGEDO;ENTRE C. VICTORIA Y C. ARTICULO 123;CENTRO;CUAUHTEMOC;CON BOTON;CON ALTAVOZ;-99.146324;19.431952;19.431952,-99.146324;9m;WIFI GRATUITO_ACTIVO
AV. REVOLUCIÓN;AV. JALISCO;SAN MIGUEL CHAPULTEPEC;MIGUEL HIDALGO;CON BOTON;CON ALTAVOZ;-99.184447;19.407188;19.407188,-99.184447;9m;WIFI GRATUITO_ACTIVO
CAMINO A NATIVITAS;C. MADRE SELVA;BARRIO XALTOCAN;XOCHIMILCO;CON BOTON;CON ALTAVOZ;-99.099356;19.2513;19.2513,-99.099356;9m;WIFI GRATUITO_ACTIVO
AV. HENRY FORD;C. MARTHA;GUADALUPE TEPEYAC;GUSTAVO A. MADERO;CON BOTON;CON ALTAVOZ;-99.118204;19.469871;19.469871,-99.118204;9m;SIN WIFI
C. CAPULTITLAN;C. TECPAN DE GALEANA;SAN FELIPE DE JESUS;GUSTAVO A. MADERO;CON BOTON;SIN ALTAVOZ;-99.074156;19.494814;19.494814,-99.074156;9m;WIFI GRATUITO_ACTIVO
CALZ. DE GUADALUPE;AV. RÍO CONSULADO;VALLE GÓMEZ;CUAUHTEMOC;CON BOTON;CON ALTAVOZ;-99.126532;19.46093;19.46093,-99.126532;9m;WIFI GRATUITO_ACTIVO
C. ITURBIDE;CDA. FRANCISCO MORENO;GUSTAVO A MADERO;GUSTAVO A. MADERO;CON BOTON;CON ALTAVOZ;-99.112192;19.483496;19.483496,-99.112192;9m;WIFI GRATUITO_ACTIVO
C. 28-A;AV. 3-A;SANTA ROSA;GUSTAVO A. MADERO;CON BOTON;CON ALTAVOZ;-99.169834;19.523919;19.523919,-99.169834;9m;WIFI GRATUITO_ACTIVO
C. VOLCAN HUITZUCO;C. BARAJAS;U.H LA PRADERA;GUSTAVO A. MADERO;CON BOTON;CON ALTAVOZ;-99.063398;19.471329;19.471329,-99.063398;9m;WIFI GRATUITO_ACTIVO
C. AYUNTAMIENTO;C. LUIS MOYA;CENTRO;CUAUHTEMOC;CON BOTON;CON ALTAVOZ;-99.145396;19.430924;19.430924,-99.145396;9m;SIN WIFI
AV. PRADO NORTE;C. BARRILACO;LOMAS DE CHAPULTEPEC 3a. SECCIÓN;MIGUEL HIDALGO;CON BOTON;CON ALTAVOZ;-99.20779;19.42789;19.42789,-99.20779;9m;WIFI GRATUITO_ACTIVO
JOSE ESPINOZA;PARALELA 7;CRISTO REY;ALVARO OBREGON;CON BOTON;CON ALTAVOZ;-99.200244;19.389887;19.389887,-99.200244;9m;WIFI GRATUITO_ACTIVO
C. NICANOR ARVIDE;PRÓL.. AV. SAN ANTONIO;MINAS DE CRISTO REY;ALVARO OBREGON;SIN BOTON;CON ALTAVOZ;-99.202111;19.381752;19.381752,-99.202111;9m;WIFI GRATUITO_ACTIVO
AV. REAL DE TOLUCA;AV. DIVISIÓN DEL NORTE;BOSQUES 1a. SECCIÓN;ALVARO OBREGON;CON BOTON;CON ALTAVOZ;-99.196862;19.393368;19.393368,-99.196862;9m;WIFI GRATUITO_ACTIVO
C. PASO DEL REY;C. RIO TACUBAYA;2da AMPL. LA MEXICANA;ALVARO OBREGON;CON BOTON;CON ALTAVOZ;-99.231552;19.37965;19.37965,-99.231552;9m;WIFI GRATUITO_ACTIVO
C. QUERETARO;C. CHIAPAS;CHALMA DE GUADALUPE;GUSTAVO A. MADERO;CON BOTON;CON ALTAVOZ;-99.154822;19.550776;19.550776,-99.154822;9m;WIFI GRATUITO_ACTIVO
C. ROSARIO;ENTRE EJE 5 NORTE DEPORTIVO REYNOSA Y C. HIDALGO;PUEBLO SANTA BARBARA;AZCAPOTZALCO;CON BOTON;CON ALTAVOZ;-99.176154;19.495395;19.495395,-99.176154;9m;WIFI GRATUITO_ACTIVO
CALZ. RENACIMIENTO;EJE 3 NORTE CALZ SAN ISIDRO;SAN JUAN TLIHUACA;AZCAPOTZALCO;CON BOTON;CON ALTAVOZ;-99.201515;19.485459;19.485459,-99.201515;9m;SIN WIFI
C. CAMPO GRIJALVA;C. CAMPO CHILAPILLA;FRACC. SAN ANTONIO;AZCAPOTZALCO;SIN BOTON;CON ALTAVOZ;-99.210188;19.480238;19.480238,-99.210188;9m;WIFI GRATUITO_ACTIVO
AV. DE LOS MAESTROS;AV. CLAVELINAS;AZCAPOTZALCO;AZCAPOTZALCO;SIN BOTON;CON ALTAVOZ;-99.165022;19.464649;19.464649,-99.165022;9m;WIFI GRATUITO_ACTIVO
C. PIRAMIDE;CALLE 24;SAN PEDRO DE LOS PINOS;BENITO JUAREZ;CON BOTON;CON ALTAVOZ;-99.189755;19.385391;19.385391,-99.189755;9m;WIFI GRATUITO_ACTIVO
AV. SALONICA;AV. DE LAS GRANJAS;JARDIN AZPEITIA;AZCAPOTZALCO;SIN BOTON;CON ALTAVOZ;-99.175788;19.470923;19.470923,-99.175788;9m;WIFI GRATUITO_ACTIVO
AV. INSURGENTES NORTE;CALZ. SAN  SIMON;SAN SIMON TOLNAHUAC;CUAUHTEMOC;CON BOTON;CON ALTAVOZ;-99.146861;19.458821;19.458821,-99.146861;9m;SIN WIFI
C. MINA;ENTRE EJE 1 ORIENTE GUERRERO Y C. HEROES;GUERRERO;CUAUHTEMOC;CON BOTON;CON ALTAVOZ;-99.14773;19.439841;19.439841,-99.14773;9m;WIFI GRATUITO_ACTIVO
C. AYUNTAMIENTO;C. LOPEZ;CENTRO;CUAUHTEMOC;SIN BOTON;CON ALTAVOZ;-99.14239;19.430341;19.430341,-99.14239;9m;SIN WIFI
CDA. 5 DE MAYO;CDA. EJIDO;PUEBLO SANTIAGO ATZACOALCO;GUSTAVO A. MADERO;CON BOTON;CON ALTAVOZ;-99.093918;19.499682;19.499682,-99.093918;9m;WIFI GRATUITO_ACTIVO
C. TEPALCATZIN;C. CUAUHTEMOC;SANTA ISABEL TOLA;GUSTAVO A. MADERO;CON BOTON;CON ALTAVOZ;-99.116509;19.499019;19.499019,-99.116509;9m;WIFI GRATUITO_ACTIVO
CALZ. COYUYA;CDA. DE COYUYA;DE LA CRUZ;IZTACALCO;CON BOTON;CON ALTAVOZ;-99.119472;19.404091;19.404091,-99.119472;9m;WIFI GRATUITO_ACTIVO
AVENIDA AMACUZAC;PRIV. SANCHEZ;SAN ANDRES TETEPILCO;IZTAPALAPA;CON BOTON;CON ALTAVOZ;-99.1275;19.371867;19.371867,-99.1275;9m;SIN WIFI
EJE 7 SUR MUNICIPIO LIBRE;CTO. INTERIOR AV. RIO CHURUBUSCO;EL RETOÑO;IZTAPALAPA;N/A;N/A;-99.12695;19.365984;19.365984,-99.12695;20m;SIN WIFI
EJE 2 ORIENTE CALZ. DE LA VIGA;C. RELOJEROS;UNIDAD LA VIGA;IZTAPALAPA;SIN BOTON;CON ALTAVOZ;-99.122548;19.371707;19.371707,-99.122548;9m;WIFI GRATUITO_ACTIVO
EJE 5 SUR PURISIMA;C. PUBLICISTAS;SAN JOSE ACULCO;IZTAPALAPA;CON BOTON;CON ALTAVOZ;-99.099115;19.37796;19.37796,-99.099115;9m;SIN WIFI
C. NAYARIT;C. VERACRUZ;JARDINES DE CHURUBUSCO;IZTAPALAPA;CON BOTON;CON ALTAVOZ;-99.104552;19.3753;19.3753,-99.104552;9m;WIFI GRATUITO_ACTIVO
C. NEMATOLOGOS;C. MILITARES;SAN JOSE ACULCO;IZTAPALAPA;CON BOTON;CON ALTAVOZ;-99.100488;19.37395;19.37395,-99.100488;9m;WIFI GRATUITO_ACTIVO
EJE 6 SUR (AV. GUELATAO);ENTRE AV. GUELATAO  Y  AV. 3 ( EJE 5 SUR );Z.U.E. STA. MARIA AZTAHUACAN;IZTAPALAPA;CON BOTON;CON ALTAVOZ;-99.044144;19.362742;19.362742,-99.044144;9m;WIFI GRATUITO_ACTIVO
C. PALMAS;C. JACARANDAS;EL TORO;MAGDALENA CONTRERAS;CON BOTON;CON ALTAVOZ;-99.248303;19.313648;19.313648,-99.248303;9m;SIN WIFI
AV. DE LAS TORRES;C. HIDALGO;EL TANQUE;MAGDALENA CONTRERAS;CON BOTON;CON ALTAVOZ;-99.247249;19.325072;19.325072,-99.247249;9m;WIFI GRATUITO_ACTIVO
C. OJO DE AGUA;AND. PRINCIPAL;HUAYATLA;MAGDALENA CONTRERAS;CON BOTON;CON ALTAVOZ;-99.26941;19.304479;19.304479,-99.26941;9m;SIN WIFI
C. SAN RAMON;ENTRE C. RIO CHICO Y AV. SAN JERONIMO;SAN JERONIMO LIDICE;MAGDALENA CONTRERAS;CON BOTON;CON ALTAVOZ;-99.217363;19.329477;19.329477,-99.217363;9m;WIFI GRATUITO_ACTIVO
AV. PASEO DE LA REFORMA;ENTRE CALZ. CHIVATITO Y CALZ. MAHATMA GHANDI;BOSQUE DE CHAPULTEPEC 1A SECC.;MIGUEL HIDALGO;CON BOTON;CON ALTAVOZ;-99.181838;19.424306;19.424306,-99.181838;9m;SIN WIFI
AV. PROGRESO;C. AGRICULTURA;ESCANDON;MIGUEL HIDALGO;CON BOTON;CON ALTAVOZ;-99.176665;19.403693;19.403693,-99.176665;9m;WIFI GRATUITO_ACTIVO
C. MANRIQUE DE ZUÑIGA;C. MONTES CARPATOS;LOMAS DE VIRREYES;MIGUEL HIDALGO;CON BOTON;CON ALTAVOZ;-99.21652;19.413236;19.413236,-99.21652;9m;WIFI GRATUITO_ACTIVO
C. GITANA;AVENIDA LA TURBA;LA TURBA;TLAHUAC;CON BOTON;CON ALTAVOZ;-99.059554;19.292638;19.292638,-99.059554;9m;WIFI GRATUITO_ACTIVO
C. CISNE;C. LAGO CUITZEO;LOS OLIVOS;TLAHUAC;CON BOTON;CON ALTAVOZ;-99.059852;19.295355;19.295355,-99.059852;9m;WIFI GRATUITO_ACTIVO
EMBARCADERO CUEMANCO;PERIFERICO SUR;BARRIO 18;XOCHIMILCO;CON BOTON;CON ALTAVOZ;-99.102072;19.290318;19.290318,-99.102072;9m;WIFI GRATUITO_ACTIVO
PROL. 2 DE ABRIL;PRIVADA PROL. 2 DE ABRIL;PUEBLO SANTA CRUZ ACALPIXCA;XOCHIMILCO;CON BOTON;CON ALTAVOZ;-99.071429;19.242257;19.242257,-99.071429;9m;WIFI GRATUITO_ACTIVO
CARRETERA PICACHO AJUSCO;ENTRE C. JACARANDAS Y C. CALANDRIAS;CHIMILLI;TLALPAN;CON BOTON;CON ALTAVOZ;-99.220114;19.268091;19.268091,-99.220114;9m;SIN WIFI
C. 16 DE SEPTIEMBRE;CARRETERA FED. A CUERNAVACA;SAN ANDRES TOTOLTEPEC;TLALPAN;CON BOTON;CON ALTAVOZ;-99.173446;19.249317;19.249317,-99.173446;9m;WIFI GRATUITO_ACTIVO
C. LA MONEDA;C. VIVANCO;TLALPAN CENTRO;TLALPAN;CON BOTON;CON ALTAVOZ;-99.172988;19.290911;19.290911,-99.172988;9m;SIN WIFI
C. AYUNTAMIENTO;C. INDEPENDENCIA;TLALPAN;TLALPAN;CON BOTON;CON ALTAVOZ;-99.17854;19.294211;19.294211,-99.17854;9m;WIFI GRATUITO_ACTIVO
C. MORELOS;C. NIÑO JESUS;BARRIO NIÑO JESUS;TLALPAN;CON BOTON;CON ALTAVOZ;-99.162334;19.286348;19.286348,-99.162334;9m;WIFI GRATUITO_ACTIVO
AVENIDA PIEDRA PALMEADA;2do. AND. P. PALMEADA;AMPL. ISIDRO FABELA;TLALPAN;CON BOTON;CON ALTAVOZ;-99.169688;19.298474;19.298474,-99.169688;9m;WIFI GRATUITO_ACTIVO
VIADUCTO TLALPAN;CALZADA ACUEDUCTO;SAN LORENZO HUIPULCO;TLALPAN;SIN BOTON;CON ALTAVOZ;-99.150064;19.291914;19.291914,-99.150064;9m;SIN WIFI
AV. CANAL DE MIRAMONTES;C. CAPORAL;U. H. NARCISO MENDOZA;TLALPAN;CON BOTON;CON ALTAVOZ;-99.125914;19.291502;19.291502,-99.125914;9m;WIFI GRATUITO_ACTIVO
C. PALMA;CAMINO VIEJO A XICALCO;VIVEROS DE CUERNAVACA;TLALPAN;CON BOTON;CON ALTAVOZ;-99.166897;19.250099;19.250099,-99.166897;9m;WIFI GRATUITO_ACTIVO
C. FUENTES BUENAS;C. FUENTES BELLAS;FUENTES DE TEPEPAN;TLALPAN;CON BOTON;CON ALTAVOZ;-99.147763;19.269196;19.269196,-99.147763;9m;WIFI GRATUITO_ACTIVO
AV. H. CONGRESO DE LA UNION;C. PLATINO;POPULAR RASTRO;VENUSTIANO CARRANZA;CON BOTON;CON ALTAVOZ;-99.115084;19.453871;19.453871,-99.115084;9m;WIFI GRATUITO_ACTIVO
VIA EXPRES TAPO;AVENIDA BORDO XOCHIACA;AEROPUERTO INT. BENITO JUAREZ;VENUSTIANO CARRANZA;CON BOTON;CON ALTAVOZ;-99.055586;19.438065;19.438065,-99.055586;9m;WIFI GRATUITO_ACTIVO
EJE 1 PONIENTE CALZ. VALLEJO;PONIENTE 122;BARRIO SANTA CRUZ DE LAS SALINAS;AZCAPOTZALCO;SIN BOTON;CON ALTAVOZ;-99.150664;19.485433;19.485433,-99.150664;9m;WIFI GRATUITO_ACTIVO
C. PTE. 81;C. SOSTENES ROCHA;COVE;ALVARO OBREGON;CON BOTON;CON ALTAVOZ;-99.199162;19.401696;19.401696,-99.199162;9m;WIFI GRATUITO_ACTIVO
C. FAISAN;C. HALCON;BELLAVISTA;ALVARO OBREGON;CON BOTON;CON ALTAVOZ;-99.194026;19.397513;19.397513,-99.194026;9m;WIFI GRATUITO_ACTIVO
AV. MIGUEL HIDALGO;C. 28;OLIVAR DEL CONDE 2da SECC.;ALVARO OBREGON;CON BOTON;CON ALTAVOZ;-99.218612;19.37153;19.37153,-99.218612;9m;WIFI GRATUITO_ACTIVO
AV. SANTA LUCIA;C. JESUS ROCHA;OLIVAR DEL CONDE 1ra SECC.;ALVARO OBREGON;CON BOTON;CON ALTAVOZ;-99.212431;19.37172;19.37172,-99.212431;9m;WIFI GRATUITO_ACTIVO
C. CAMINO REAL A SANTA FE;C. HOLANDESES;PARAISO;ALVARO OBREGON;CON BOTON;CON ALTAVOZ;-99.212569;19.38872;19.38872,-99.212569;9m;WIFI GRATUITO_ACTIVO
C. MOLINO;C. PONIENTE;MOLINO DE ROSAS;ALVARO OBREGON;CON BOTON;CON ALTAVOZ;-99.194474;19.372538;19.372538,-99.194474;9m;SIN WIFI
C. 24;AV. SANTA LUCIA;OLIVAR DEL CONDE 2da SECC.;ALVARO OBREGON;CON BOTON;CON ALTAVOZ;-99.215864;19.370519;19.370519,-99.215864;9m;WIFI GRATUITO_ACTIVO
AV. SANTA LUCIA;C. 29;COLINAS DEL SUR;ALVARO OBREGON;CON BOTON;CON ALTAVOZ;-99.218761;19.36963;19.36963,-99.218761;9m;WIFI GRATUITO_ACTIVO
C. FRANCISCO P. MIRANDA;BLVD. ALTA TENSION;LOMAS DE PLATEROS;ALVARO OBREGON;CON BOTON;CON ALTAVOZ;-99.203834;19.366752;19.366752,-99.203834;9m;SIN WIFI
C. CORREGIDORA;C. RAYON;PUEBLO SANTA LUCIA;ALVARO OBREGON;CON BOTON;CON ALTAVOZ;-99.253902;19.358651;19.358651,-99.253902;9m;WIFI GRATUITO_ACTIVO
C. LUIS ECHEVERRIA ALVAREZ;C. ALVARO OBREGON;PRESIDENTES;ALVARO OBREGON;CON BOTON;CON ALTAVOZ;-99.22223;19.377732;19.377732,-99.22223;9m;WIFI GRATUITO_ACTIVO
C. 3;C. 6;LOMAS DE LOS ANGELES DE TETELPAN;ALVARO OBREGON;CON BOTON;CON ALTAVOZ;-99.212767;19.344133;19.344133,-99.212767;9m;WIFI GRATUITO_ACTIVO
CALZADA DE LAS CARRETAS;CALZADA DE LAS ARCADAS;ZONA RUSTICA;ALVARO OBREGON;SIN BOTON;CON ALTAVOZ;-99.224868;19.365045;19.365045,-99.224868;9m;WIFI GRATUITO_ACTIVO
C. JOSE LUIS CUEVAS;CAMINO AL DESIERTO DE LOS LEONES;PUEBLO SANTA ROSA XOCHIAC (SAN BARTOLO AMEYALCO);ALVARO OBREGON;CON BOTON;CON ALTAVOZ;-99.281704;19.328618;19.328618,-99.281704;9m;WIFI GRATUITO_ACTIVO
CALZ. DE LOS MUITLES;C. TLALMIMILOLPA;SAN BARTOLO AMEYALCO;ALVARO OBREGON;SIN BOTON;CON ALTAVOZ;-99.279806;19.336225;19.336225,-99.279806;9m;WIFI GRATUITO_ACTIVO
CDA. CORTES;C. FRANCISCO I  MADERO;TLACOPAC;ALVARO OBREGON;CON BOTON;CON ALTAVOZ;-99.193537;19.354751;19.354751,-99.193537;9m;WIFI GRATUITO_ACTIVO
C. ARTEAGA;C. MELCHOR MUZQUIZ;SAN ANGEL;ALVARO OBREGON;CON BOTON;CON ALTAVOZ;-99.191634;19.342689;19.342689,-99.191634;9m;WIFI GRATUITO_ACTIVO
CALZ. COLTONGO;PROL. 100 METROS NORTE;BARRIO COLTONGO;AZCAPOTZALCO;CON BOTON;CON ALTAVOZ;-99.153243;19.481828;19.481828,-99.153243;9m;WIFI GRATUITO_ACTIVO
CDA. DOROTEO ARAGON;C. DOROTEO ARAGON;U. HAB. FRANCISCO VILLA;AZCAPOTZALCO;CON BOTON;CON ALTAVOZ;-99.204515;19.497733;19.497733,-99.204515;9m;WIFI GRATUITO_ACTIVO
C. URANIO;C. HIDROGENO;U. HAB. EL ROSARIO;AZCAPOTZALCO;CON BOTON;CON ALTAVOZ;-99.201833;19.510047;19.510047,-99.201833;9m;WIFI GRATUITO_ACTIVO
C. NORTE 45;ENTRE PONIENTE 122 Y PONIENTE 116;MONTE ALTO;AZCAPOTZALCO;CON BOTON;CON ALTAVOZ;-99.16098;19.487486;19.487486,-99.16098;9m;WIFI GRATUITO_ACTIVO
C. MERCADERES;C. AGRICULTORES;U. HAB. EL ROSARIO;AZCAPOTZALCO;CON BOTON;CON ALTAVOZ;-99.200449;19.513294;19.513294,-99.200449;9m;SIN WIFI
CALZ. AZCAPOTZALCO - LAVILLA;AV. CENTRAL;PUEBLO SANTA CATARINA;AZCAPOTZALCO;CON BOTON;CON ALTAVOZ;-99.177436;19.490052;19.490052,-99.177436;9m;WIFI GRATUITO_ACTIVO
C. CAMPO TULILLO;C. REFINERIA MINATITLAN;PUEBLO SAN ANDRES;AZCAPOTZALCO;CON BOTON;CON ALTAVOZ;-99.183538;19.491782;19.491782,-99.183538;9m;WIFI GRATUITO_ACTIVO
C. TLELTENCO;AV. CENTRAL;PUEBLO SANTA CATARINA;AZCAPOTZALCO;CON BOTON;CON ALTAVOZ;-99.177031;19.491191;19.491191,-99.177031;9m;WIFI GRATUITO_ACTIVO
REFINERIA MINATITLAN;CAMPO ACALAPA;REYNOSA TAMAULIPAS;AZCAPOTZALCO;CON BOTON;CON ALTAVOZ;-99.188315;19.492978;19.492978,-99.188315;9m;WIFI GRATUITO_ACTIVO
C. FRANCISCO MARQUEZ;C. JUAN DE LA BARRERA;U. ECOLOGICA NOVEDADES IMPACTO;AZCAPOTZALCO;CON BOTON;CON ALTAVOZ;-99.189591;19.508463;19.508463,-99.189591;9m;WIFI GRATUITO_ACTIVO
C. NORTE 45;C. PONIENTE 150;INDUSTRIAL VALLEJO;AZCAPOTZALCO;CON BOTON;CON ALTAVOZ;-99.157633;19.501896;19.501896,-99.157633;9m;WIFI GRATUITO_ACTIVO
AVENIDA EL ROSARIO;AND. 2 EL ROSARIO;PUEBLO SAN MARTIN XOCHINAHUAC;AZCAPOTZALCO;SIN BOTON;CON ALTAVOZ;-99.196166;19.499512;19.499512,-99.196166;9m;WIFI GRATUITO_ACTIVO
C. NORTE 87-B;C. SALONICA;CLAVERIA;AZCAPOTZALCO;CON BOTON;CON ALTAVOZ;-99.181322;19.469834;19.469834,-99.181322;9m;WIFI GRATUITO_ACTIVO
EJE 3 NORTE AV CUITLAHUAC;C. 10;AGUILERA;AZCAPOTZALCO;SIN BOTON;CON ALTAVOZ;-99.156191;19.473514;19.473514,-99.156191;9m;SIN WIFI
C. GASOLINA;C. NORTE 137;PLENITUD;AZCAPOTZALCO;CON BOTON;CON ALTAVOZ;-99.197705;19.473599;19.473599,-99.197705;9m;WIFI GRATUITO_ACTIVO
AV. AQUILES SERDAN;C. POLO NORTE;BARRIO NEXTENGO;AZCAPOTZALCO;CON BOTON;CON ALTAVOZ;-99.189171;19.471282;19.471282,-99.189171;9m;WIFI GRATUITO_ACTIVO
C. BELISARIO DOMINGUEZ;C. TEPANECAS;VILLA AZCAPOTZALCO;AZCAPOTZALCO;CON BOTON;CON ALTAVOZ;-99.184486;19.481065;19.481065,-99.184486;9m;WIFI GRATUITO_ACTIVO
C. ACAMAPICHTLI;C. AHUIZOTL;LA PRECIOSA;AZCAPOTZALCO;CON BOTON;CON ALTAVOZ;-99.192534;19.486722;19.486722,-99.192534;9m;WIFI GRATUITO_ACTIVO
C. CAMPO COBO;AV. CAMPO CHILAPILLA;PROVIDENCIA;AZCAPOTZALCO;CON BOTON;CON ALTAVOZ;-99.208374;19.479526;19.479526,-99.208374;9m;WIFI GRATUITO_ACTIVO
C. NORTE 71;ENTRE C. RABAUL Y C. NORTE 71;U. H. CUITLAHUAC;AZCAPOTZALCO;CON BOTON;CON ALTAVOZ;-99.172054;19.472941;19.472941,-99.172054;9m;WIFI GRATUITO_ACTIVO
AV. 22 DE FEBRERO;C. MATIAS ROMERO;PUEBLO SANTA MARIA MALINALCO;AZCAPOTZALCO;SIN BOTON;CON ALTAVOZ;-99.183833;19.480263;19.480263,-99.183833;9m;WIFI GRATUITO_ACTIVO
C. PIÑA;C. MALVON;NUEVA SANTA MARIA;AZCAPOTZALCO;CON BOTON;CON ALTAVOZ;-99.170125;19.468577;19.468577,-99.170125;9m;WIFI GRATUITO_ACTIVO
C. FRANCISCO SANCHEZ;CALZ. DE LA NARANJA;SANTIAGO AHUIZOTLA;AZCAPOTZALCO;CON BOTON;CON ALTAVOZ;-99.213589;19.473081;19.473081,-99.213589;9m;WIFI GRATUITO_ACTIVO
EJE 3 NORTE CALZ. SAN ISIDRO;CALZ. DE LAS ARMAS;LA PROVIDENCIA;AZCAPOTZALCO;SIN BOTON;CON ALTAVOZ;-99.217095;19.487395;19.487395,-99.217095;9m;SIN WIFI
C. GUAM;AV. CENTRAL;EUZKADI;AZCAPOTZALCO;CON BOTON;CON ALTAVOZ;-99.160221;19.477154;19.477154,-99.160221;9m;WIFI GRATUITO_ACTIVO
AV. CEYLAN;C. ALEUTIANAS;COSMOPOLITA;AZCAPOTZALCO;CON BOTON;CON ALTAVOZ;-99.162118;19.474791;19.474791,-99.162118;9m;WIFI GRATUITO_ACTIVO
AV. CENTRAL;C. 16;PRO-HOGAR;AZCAPOTZALCO;CON BOTON;CON ALTAVOZ;-99.152204;19.47564;19.47564,-99.152204;9m;WIFI GRATUITO_ACTIVO
C. GERANIO;PO. DE LAS JACARANDAS CTO. INTERIOR;EL ARENAL;AZCAPOTZALCO;CON BOTON;CON ALTAVOZ;-99.150075;19.463257;19.463257,-99.150075;9m;WIFI GRATUITO_ACTIVO
AV. MAXIMO A. CAMACHO;C. WISCONSIN;CIUDAD DE LOS DEPORTES;BENITO JUAREZ;CON BOTON;CON ALTAVOZ;-99.177092;19.383986;19.383986,-99.177092;9m;WIFI GRATUITO_ACTIVO
C. LEONARDO DA VINCI;C. BENVENUTO CELLINI;MIXCOAC;BENITO JUAREZ;CON BOTON;CON ALTAVOZ;-99.190818;19.376051;19.376051,-99.190818;9m;WIFI GRATUITO_ACTIVO
