DIRECCIÓN;ESQUINA;COLONIA;ALCALDIA;BOTON;ALTAVOZ;LONGITUD;LATITUD;geopoint;TIPO DE POSTE;ESTATUS CONECTIVIDAD
ELISA;TETLAPA;2DA. AMPL.  SANTIAGO ACAHUALTEPEC;IZTAPALAPA;CON BOTON;CON ALTAVOZ;-99.013815;19.346792;19.346792,-99.013815;9m;WIFI GRATUITO_ACTIVO
CEDRO;CALABAZAS;TENORIOS;IZTAPALAPA;CON BOTON;CON ALTAVOZ;-99.020811;19.32784;19.32784,-99.020811;9m;SIN WIFI
CORRALITOS;LA ERA;TENORIOS;IZTAPALAPA;CON BOTON;CON ALTAVOZ;-99.02143;19.330967;19.330967,-99.02143;9m;SIN WIFI
C. JOSE ARRESE;C. MINA;TEPALCATES;IZTAPALAPA;CON BOTON;CON ALTAVOZ;-99.04998;19.389424;19.389424,-99.04998;9m;WIFI GRATUITO_ACTIVO
C. SANTA TERESA;ENTRE C. MIGUEL HIDALGO Y CALZADA IGNACIO ZARAGOZA;TEPALCATES;IZTAPALAPA;CON BOTON;CON ALTAVOZ;-99.054437;19.391591;19.391591,-99.054437;9m;WIFI GRATUITO_ACTIVO
C. CINE MEXICANO;AVENIDA 11;UNIDAD BENITO JUAREZ;IZTAPALAPA;CON BOTON;CON ALTAVOZ;-99.084893;19.316452;19.316452,-99.084893;9m;SIN WIFI
AV. LANCEROS DE OAXACA;RET. 1 LANCEROS DE OAXACA;U. H. E.O. II INDECO;IZTAPALAPA;CON BOTON;CON ALTAVOZ;-99.035798;19.383851;19.383851,-99.035798;9m;WIFI GRATUITO_ACTIVO
ESTRELLA;HUANUSCO;EL RODEO;IZTAPALAPA;CON BOTON;CON ALTAVOZ;-99.071822;19.335229;19.335229,-99.071822;9m;WIFI GRATUITO_ACTIVO
C. IZTACCIHUATL;C. ANTONIO PARODI;PARAJE SAN JUAN;IZTAPALAPA;CON BOTON;CON ALTAVOZ;-99.071452;19.337298;19.337298,-99.071452;9m;WIFI GRATUITO_ACTIVO
TOMAS AHOYAMA;ESQUINA RUBEN ZEPEDA NOVELO;U.H. CHINAMPAC DE JUAREZ;IZTAPALAPA;CON BOTON;CON ALTAVOZ;-99.050623;19.375389;19.375389,-99.050623;9m;WIFI GRATUITO_ACTIVO
PROL. PLUTARCO ELIAS CALLES;C. SUPER MANZANA 3 MANZANA 11;EJERCITO CONSTITUCIONALISTA;IZTAPALAPA;SIN BOTON;CON ALTAVOZ;-99.053501;19.381072;19.381072,-99.053501;9m;SIN WIFI
EJE 5 SUR;ENTRE AVENIDA CANAL DE SAN JUAN Y C. RADIOFONIA;UNID. HAB. CHINAMPAC DE JUAREZ;IZTAPALAPA;SIN BOTON;CON ALTAVOZ;-99.057394;19.376001;19.376001,-99.057394;9m;WIFI GRATUITO_ACTIVO
C. COMBATE DE CELAYA;ANILLO PERIFERICO;U.H. VICENTE GUERRERO;IZTAPALAPA;CON BOTON;CON ALTAVOZ;-99.057883;19.357773;19.357773,-99.057883;9m;SIN WIFI
CALLE 2 GUADALUPE MAGAÑA;CALLE 4 GUADALUPE MAGAÑA;U.H. VICENTE GUERRERO;IZTAPALAPA;SIN BOTON;CON ALTAVOZ;-99.059263;19.357402;19.357402,-99.059263;9m;SIN WIFI
CALLE 5 CASIMIRO DEL VALLE;CALLE 7 CASIMIRO DEL VALLE;U. H. VICENTE GUERRERO;IZTAPALAPA;CON BOTON;CON ALTAVOZ;-99.049806;19.351973;19.351973,-99.049806;9m;WIFI GRATUITO_ACTIVO
AVENIDA ANTONIO DIAZ SOTO Y GAMA;C. 3 FRANCISCO MENA;U. H. VICENTE GUERRERO;IZTAPALAPA;SIN BOTON;CON ALTAVOZ;-99.052246;19.358398;19.358398,-99.052246;9m;SIN WIFI
C. RUBEN ZEPEDA;ENTRE C. ROSARIO CASTELLANOS Y C. TOMAS AHOYAMA;CHINAM-PAC DE JUAREZ;IZTAPALAPA;CON BOTON;CON ALTAVOZ;-99.052014;19.377051;19.377051,-99.052014;9m;WIFI GRATUITO_ACTIVO
PLUTARCO ELIAS CALLES;ENTRE AVENIDA TELECOMUNICACIONES Y C. MANUEL ESCANDON;U.H. EJERCITO CONSTITUCIONALISTA;IZTAPALAPA;CON BOTON;CON ALTAVOZ;-99.047995;19.377929;19.377929,-99.047995;9m;WIFI GRATUITO_ACTIVO
TRANSPORTISTAS;ENTRE C. MANUEL ESCANDÓN Y EJE 7 OTE. AV. GUELATAO;ALVARO OBREGON;IZTAPALAPA;CON BOTON;CON ALTAVOZ;-99.040748;19.37662;19.37662,-99.040748;9m;WIFI GRATUITO_ACTIVO
